""	"caja"	"dosis"	"hongo"	"biomasa"
"1"	1	0	"sin_inoculo"	16.5
"2"	2	0	"sin_inoculo"	19.3
"3"	3	0	"sin_inoculo"	15.1
"4"	4	0	"sin_inoculo"	16.8
"5"	5	0	"sin_inoculo"	20.2
"6"	6	0	"con_inoculo"	15.9
"7"	7	0	"con_inoculo"	16.3
"8"	8	0	"con_inoculo"	18.4
"9"	9	0	"con_inoculo"	17.4
"10"	10	0	"con_inoculo"	19
"11"	11	10	"sin_inoculo"	13.8
"12"	12	10	"sin_inoculo"	14.3
"13"	13	10	"sin_inoculo"	14.9
"14"	14	10	"sin_inoculo"	14.3
"15"	15	10	"sin_inoculo"	15
"16"	16	10	"con_inoculo"	19.4
"17"	17	10	"con_inoculo"	15.5
"18"	18	10	"con_inoculo"	18.4
"19"	19	10	"con_inoculo"	16.8
"20"	20	10	"con_inoculo"	18.4
"21"	21	20	"sin_inoculo"	10.1
"22"	22	20	"sin_inoculo"	7.6
"23"	23	20	"sin_inoculo"	9.8
"24"	24	20	"sin_inoculo"	9.7
"25"	25	20	"sin_inoculo"	10.8
"26"	26	20	"con_inoculo"	12
"27"	27	20	"con_inoculo"	15.5
"28"	28	20	"con_inoculo"	14.1
"29"	29	20	"con_inoculo"	14.7
"30"	30	20	"con_inoculo"	14.8
"31"	31	40	"sin_inoculo"	2.6
"32"	32	40	"sin_inoculo"	2.7
"33"	33	40	"sin_inoculo"	1.2
"34"	34	40	"sin_inoculo"	0
"35"	35	40	"sin_inoculo"	1.9
"36"	36	40	"con_inoculo"	10.8
"37"	37	40	"con_inoculo"	9.9
"38"	38	40	"con_inoculo"	6.9
"39"	39	40	"con_inoculo"	9.7
"40"	40	40	"con_inoculo"	11.2
"41"	1	0	"sin_inoculo"	17.4
"42"	2	0	"sin_inoculo"	18.9
"43"	3	0	"sin_inoculo"	14.8
"44"	4	0	"sin_inoculo"	17
"45"	5	0	"sin_inoculo"	20.1
"46"	6	0	"con_inoculo"	16
"47"	7	0	"con_inoculo"	16.4
"48"	8	0	"con_inoculo"	17.7
"49"	9	0	"con_inoculo"	17.6
"50"	10	0	"con_inoculo"	19.4
"51"	11	10	"sin_inoculo"	13.1
"52"	12	10	"sin_inoculo"	14.4
"53"	13	10	"sin_inoculo"	14.8
"54"	14	10	"sin_inoculo"	14.4
"55"	15	10	"sin_inoculo"	15.4
"56"	16	10	"con_inoculo"	19.8
"57"	17	10	"con_inoculo"	15.2
"58"	18	10	"con_inoculo"	18
"59"	19	10	"con_inoculo"	17.7
"60"	20	10	"con_inoculo"	19.3
"61"	21	20	"sin_inoculo"	9.3
"62"	22	20	"sin_inoculo"	7
"63"	23	20	"sin_inoculo"	10
"64"	24	20	"sin_inoculo"	10.2
"65"	25	20	"sin_inoculo"	9.7
"66"	26	20	"con_inoculo"	10.9
"67"	27	20	"con_inoculo"	15.3
"68"	28	20	"con_inoculo"	14
"69"	29	20	"con_inoculo"	15
"70"	30	20	"con_inoculo"	14.3
"71"	31	40	"sin_inoculo"	2.9
"72"	32	40	"sin_inoculo"	3
"73"	33	40	"sin_inoculo"	2.3
"74"	34	40	"sin_inoculo"	0
"75"	35	40	"sin_inoculo"	1.5
"76"	36	40	"con_inoculo"	10.2
"77"	37	40	"con_inoculo"	10.6
"78"	38	40	"con_inoculo"	7.3
"79"	39	40	"con_inoculo"	10.3
"80"	40	40	"con_inoculo"	11.5
