Tratamiento	Dia	MTox_ing	VSol_ing	T_ing	T_pau	T_tot	Nro_pau
SAC30	1	38	1.65	63.3	0	63.3	0
SAC30	1	58	2.52	81.8	0	81.8	0
SAC30	1	30	1.30	61.8	51.8	113.6	1
SAC30	1	50	2.17	70	5	75	1
SAC30	2	40	1.74	81.6	9.5	91.1	1
SAC30	2	46	2.00	65.1	0	65.1	0
SAC30	2	34	1.48	56.7	4.5	61.2	2
SAC30	2	46	2.00	55.9	0	55.9	0
SAC30	3	44	1.91	76.8	10.9	87.7	1
SAC30	3	48	2.08	69.3	0	69.3	0
SAC30	3	34	1.48	42.8	0	42.8	0
SAC30	3	38	1.65	54.6	4.4	59	2
SAC30	4	30	1.30	36.2	110.9	147.1	4
SAC30	4	48	2.08	55.4	1.2	56.6	1
SAC30	4	44	1.91	50.3	0	50.3	0
SAC30	4	42	1.82	45.9	0	45.9	0
SAC30	5	42	1.82	52.5	5.4	57.9	2
SAC30	5	52	2.26	62.3	15.7	78	2
SAC30	5	42	1.82	50	0	50	0
SAC30	5	38	1.65	72.8	0	72.8	0
SAC68	1	50	1.89	312.9	9.2	322.1	2
SAC68	1	38	1.44	209.1	36.7	245.8	3
SAC68	1	36	1.36	136.9	54.8	191.7	5
SAC68	1	48	1.81	353.8	149	502.8	3
SAC68	2	34	1.28	179.1	0	179.1	0
SAC68	2	44	1.66	347.2	52.8	400	10
SAC68	2	46	1.74	337.4	0	337.4	0
SAC68	2	48	1.81	539	14.7	553.7	2
SAC68	3	46	1.74	302.5	0	302.5	0
SAC68	3	36	1.36	275.2	143.4	418.6	2
SAC68	3	62	2.34	497.7	15.3	513	3
SAC68	3	40	1.51	259.7	72.8	332.5	5
SAC68	4	44	1.66	382.3	23.4	405.7	4
SAC68	4	50	1.89	424.2	103.6	527.8	3
SAC68	4	42	1.59	343.9	15.9	359.8	2
SAC68	4	54	2.04	437.8	16.1	453.9	2
SAC68	5	28	1.06	254.3	82.9	337.2	8
SAC68	5	54	2.04	729.5	53.5	783	9
SAC68	5	58	2.19	633.5	61.1	694.6	2
SAC68	5	28	1.06	525.6	0	525.6	0
CC	1	36	1.29	466.9	61.8	528.7	9
CC	1	26	0.93	242.1	72.4	314.5	9
CC	1	34	1.22	275.2	108.3	383.5	8
CC	1	30	1.07	509.5	34.5	544	5
CC	2	28	1.00	625.4	134.1	759.5	5
CC	2	34	1.22	543.4	433.4	976.8	19
CC	2	42	1.50	450.8	30.5	481.3	8
CC	2	38	1.36	409.4	146.1	555.5	16
CC	3	28	1.00	304.1	202.2	506.3	23
CC	3	32	1.15	353.9	124.2	478.1	9
CC	3	28	1.00	231.3	211.4	442.7	18
CC	3	32	1.15	459.4	223.4	682.8	19
CC	4	36	1.29	571.8	105.1	676.9	19
CC	4	44	1.57	782	217.9	999.9	15
CC	4	50	1.79	457.9	31.9	489.8	5
CC	4	36	1.29	439.7	56.7	496.4	9
CC	5	22	0.79	240.7	30.6	271.3	3
CC	5	30	1.07	389.2	123.2	512.4	24
CC	5	26	0.93	285.1	26	311.1	8
CC	5	36	1.29	399.9	64	463.9	14
