sexo	Individuo	Fumador	horas.suenio
hombre	1	no	8.1
hombre	1	no	9.2
hombre	1	no	8.5
hombre	1	no	8.3
hombre	2	si	6.4
hombre	2	si	7.2
hombre	2	si	6.7
hombre	2	si	6.3
hombre	3	no	9.2
hombre	3	no	9.1
hombre	3	no	8.7
hombre	3	no	9.2
hombre	4	si	6.4
hombre	4	si	7.2
hombre	4	si	6.5
hombre	4	si	5.5
hombre	5	no	9.3
hombre	5	no	10.0
hombre	5	no	8.8
hombre	5	no	9.6
hombre	6	si	7.1
hombre	6	si	6.5
hombre	6	si	6.7
hombre	6	si	6.8
mujer	7	no	9.1
mujer	7	no	8.7
mujer	7	no	9.0
mujer	7	no	9.3
mujer	8	si	7.3
mujer	8	si	5.9
mujer	8	si	7.1
mujer	8	si	6.2
mujer	9	no	9.1
mujer	9	no	9.1
mujer	9	no	9.6
mujer	9	no	9.9
mujer	10	si	6.6
mujer	10	si	7.2
mujer	10	si	7.5
mujer	10	si	6.8
mujer	11	no	9.1
mujer	11	no	9.8
mujer	11	no	9.3
mujer	11	no	9.5
mujer	12	si	6.3
mujer	12	si	7.2
mujer	12	si	6.6
mujer	12	si	6.7
