exclusion	distancia	supervivencia
sinjaula	388	1
sinjaula	222	1
sinjaula	55	1
sinjaula	199	1
sinjaula	84	1
sinjaula	114	0
sinjaula	318	1
sinjaula	489	0
sinjaula	190	0
sinjaula	278	1
sinjaula	498	0
sinjaula	237	1
sinjaula	375	1
sinjaula	284	0
sinjaula	177	0
sinjaula	33	0
sinjaula	339	1
sinjaula	404	1
sinjaula	99	0
sinjaula	351	0
sinjaula	369	0
sinjaula	263	0
sinjaula	461	1
sinjaula	280	0
sinjaula	123	1
sinjaula	419	1
sinjaula	326	1
sinjaula	235	1
sinjaula	172	0
sinjaula	246	0
sinjaula	251	1
sinjaula	88	0
sinjaula	218	0
sinjaula	118	0
sinjaula	143	0
sinjaula	41	0
sinjaula	43	0
sinjaula	394	1
sinjaula	168	0
sinjaula	350	1
sinjaula	178	0
sinjaula	359	0
sinjaula	90	0
sinjaula	353	1
sinjaula	326	1
sinjaula	119	0
sinjaula	297	1
sinjaula	277	1
sinjaula	189	0
sinjaula	267	0
jaula	41	0
jaula	211	1
jaula	205	1
jaula	466	1
jaula	254	0
jaula	164	0
jaula	128	0
jaula	434	1
jaula	278	1
jaula	275	1
jaula	430	1
jaula	352	1
jaula	80	1
jaula	64	1
jaula	232	0
jaula	167	1
jaula	187	1
jaula	172	1
jaula	383	1
jaula	11	1
jaula	95	1
jaula	279	0
jaula	322	0
jaula	304	1
jaula	53	1
jaula	298	0
jaula	497	0
jaula	207	1
jaula	435	1
jaula	139	1
jaula	90	0
jaula	93	0
jaula	67	1
jaula	103	1
jaula	450	1
jaula	493	1
jaula	162	1
jaula	466	1
jaula	235	1
jaula	35	1
jaula	407	1
jaula	372	0
jaula	234	1
jaula	150	0
jaula	474	1
jaula	159	0
jaula	230	1
jaula	211	1
jaula	36	0
jaula	177	1
