edad_meses	sexo	N_verbos_pasado	N_sobrereg
56	F	90	6
51	F	56	4
44	F	32	4
32	M	44	10
55	F	71	8
44	F	15	2
14	M	3	1
14	M	10	5
37	M	60	9
33	M	45	5
49	M	64	10
25	F	38	9
28	F	36	4
12	F	7	1
33	F	64	10
45	M	48	4
33	M	68	11
13	F	11	3
48	F	44	3
55	F	55	2
54	M	48	3
43	M	50	2
35	M	43	10
33	M	30	4
25	F	33	7
57	F	74	6
59	F	71	2
22	F	29	6
43	F	56	5
19	M	21	6
39	M	59	8
48	F	45	1
58	F	50	1
20	F	24	6
60	M	113	8
48	F	38	1
29	F	21	6
32	M	55	7
58	F	50	1
36	M	82	7
36	M	53	5
24	M	49	5
23	M	34	10
46	F	57	6
50	F	53	6
16	M	21	2
23	F	17	4
53	M	52	1
14	F	12	5
35	F	26	3
27	M	51	8
37	M	66	8
31	M	30	1
21	F	21	3
23	F	38	12
49	F	42	4
59	M	63	3
43	F	29	1
44	F	72	4
21	M	28	7
40	M	66	7
60	M	55	4
25	M	60	9
47	F	71	6
29	M	42	7
28	F	24	6
40	F	48	6
59	M	89	55
55	F	84	5
60	F	47	5
59	M	78	5
17	F	19	3
48	F	81	11
46	F	52	8
30	M	26	3
38	M	20	4
13	F	11	1
53	F	80	8
20	M	24	5
14	M	17	1
42	M	47	4
25	F	35	5
44	F	41	4
25	M	41	8
22	F	5	1
53	M	71	3
53	F	63	7
39	F	60	2
34	M	64	8
24	M	27	6
58	F	59	1
27	F	53	9
