Sb	falla_geologica	deposito_oro
3.08	1	1
6.15	1	1
2.35	1	1
0.3	0	0
0.3	0	0
9.62	1	1
0.51	0	0
3.71	1	1
4.32	0	0
0.8	0	0
8.45	1	1
0.6	0	0
0.2	0	0
8.32	0	0
0.3	0	0
5.6	1	1
0.2	0	0
10.1	0	1
0.1	0	0
0.1	0	0
0.2	0	0
0.1	0	0
3.5	1	1
0.1	0	0
2.3	1	0
0.3	0	0
0.3	0	0
0.2	0	0
0.5	0	0
0.4	0	0
0.41	0	0
0.22	0	0
0.31	1	0
0.41	1	1
0.22	1	0
1.11	1	1
0.53	0	0
0.52	0	0
6.44	0	1
1.2	1	1
0.32	1	0
0.91	1	0
0.22	0	0
1.43	1	0
5.67	0	0
4.82	1	1
1.11	0	0
0.43	0	0
0.42	0	0
4.99	0	0
1.11	1	1
0.7	1	1
0.39	0	0
3.19	1	1
1.92	1	1
4.12	0	1
2.47	1	1
18.2	0	1
1.21	1	1
8.32	0	0
6.32	1	1
1.82	1	1
2.14	1	1
0.56	1	0
