"Localidad"	"Nivel_industrial"	"Num_posadero"	"Num_roed"	"Num_presas_tot"	"sup_pastizal"
1	1	1	110	157	0.104
1	1	2	34	50	0.104
1	1	3	83	121	0.104
1	1	4	50	83	0.104
1	1	5	75	107	0.104
1	1	6	103	142	0.104
1	1	7	62	103	0.104
1	1	8	44	67	0.104
1	1	9	60	87	0.104
2	1	1	93	150	0.031
2	1	2	54	113	0.031
2	1	3	105	168	0.031
2	1	4	37	65	0.031
2	1	5	63	115	0.031
2	1	6	108	198	0.031
2	1	7	103	184	0.031
2	1	8	101	183	0.031
2	1	9	48	76	0.031
2	1	10	42	70	0.031
3	1	1	102	148	-0.136
3	1	2	77	102	-0.136
3	1	3	106	149	-0.136
3	1	4	73	98	-0.136
3	1	5	57	78	-0.136
3	1	6	122	167	-0.136
3	1	7	51	64	-0.136
3	1	8	89	120	-0.136
3	1	9	91	127	-0.136
4	1	1	76	140	0.45
4	1	2	47	100	0.45
4	1	3	63	123	0.45
4	1	4	101	193	0.45
4	1	5	51	122	0.45
4	1	6	95	184	0.45
4	1	7	102	187	0.45
4	1	8	75	141	0.45
4	1	9	58	112	0.45
4	1	10	33	72	0.45
5	1	1	122	190	0.128
5	1	2	67	95	0.128
5	1	3	41	59	0.128
5	1	4	121	192	0.128
5	1	5	111	158	0.128
5	1	6	45	71	0.128
5	1	7	79	132	0.128
5	1	8	126	193	0.128
5	1	9	97	138	0.128
5	1	10	74	111	0.128
6	1	1	99	147	-0.488
6	1	2	80	98	-0.488
6	1	3	70	96	-0.488
6	1	4	65	83	-0.488
6	1	5	69	105	-0.488
6	1	6	141	198	-0.488
6	1	7	55	73	-0.488
6	1	8	45	64	-0.488
7	1	1	47	71	0.179
7	1	2	106	154	0.179
7	1	3	93	143	0.179
7	1	4	114	184	0.179
7	1	5	107	151	0.179
7	1	6	102	161	0.179
7	1	7	94	128	0.179
7	1	8	93	149	0.179
7	1	9	110	173	0.179
8	1	1	113	168	-0.115
8	1	2	134	197	-0.115
8	1	3	77	116	-0.115
8	1	4	70	97	-0.115
8	1	5	71	111	-0.115
8	1	6	37	52	-0.115
8	1	7	55	78	-0.115
8	1	8	126	176	-0.115
8	1	9	61	85	-0.115
8	1	10	61	86	-0.115
9	2	1	41	62	-0.264
9	2	2	62	87	-0.264
9	2	3	96	160	-0.264
9	2	4	115	177	-0.264
9	2	5	82	125	-0.264
9	2	6	64	108	-0.264
9	2	7	50	87	-0.264
9	2	8	43	67	-0.264
9	2	9	72	108	-0.264
10	2	1	58	136	-0.051
10	2	2	48	83	-0.051
10	2	3	52	117	-0.051
10	2	4	38	83	-0.051
10	2	5	60	125	-0.051
10	2	6	44	103	-0.051
10	2	7	69	147	-0.051
10	2	8	44	106	-0.051
10	2	9	52	103	-0.051
11	2	1	78	130	-0.253
11	2	2	71	161	-0.253
11	2	3	45	83	-0.253
11	2	4	48	112	-0.253
11	2	5	51	90	-0.253
11	2	6	89	144	-0.253
11	2	7	46	78	-0.253
11	2	8	96	180	-0.253
11	2	9	91	162	-0.253
11	2	10	72	150	-0.253
12	2	1	84	143	-0.179
12	2	2	64	106	-0.179
12	2	3	74	129	-0.179
12	2	4	111	181	-0.179
12	2	5	78	137	-0.179
12	2	6	109	176	-0.179
12	2	7	67	97	-0.179
12	2	8	98	156	-0.179
12	2	9	59	90	-0.179
13	2	1	97	139	-0.153
13	2	2	87	122	-0.153
13	2	3	60	90	-0.153
13	2	4	92	135	-0.153
13	2	5	120	187	-0.153
13	2	6	124	185	-0.153
13	2	7	60	91	-0.153
13	2	8	77	98	-0.153
13	2	9	124	198	-0.153
14	2	1	98	143	-0.418
14	2	2	126	191	-0.418
14	2	3	86	120	-0.418
14	2	4	75	111	-0.418
14	2	5	104	149	-0.418
14	2	6	51	73	-0.418
14	2	7	103	136	-0.418
14	2	8	66	86	-0.418
14	2	9	142	194	-0.418
15	2	1	47	140	0.213
15	2	2	42	127	0.213
15	2	3	35	110	0.213
15	2	4	72	182	0.213
15	2	5	29	105	0.213
15	2	6	31	93	0.213
15	2	7	33	76	0.213
15	2	8	30	76	0.213
16	2	1	80	122	0.042
16	2	2	50	88	0.042
16	2	3	50	82	0.042
16	2	4	91	151	0.042
16	2	5	44	57	0.042
16	2	6	93	155	0.042
16	2	7	67	103	0.042
16	2	8	62	111	0.042
16	2	9	105	173	0.042
16	2	10	116	188	0.042
17	3	1	55	92	-0.281
17	3	2	118	194	-0.281
17	3	3	101	159	-0.281
17	3	4	84	153	-0.281
17	3	5	33	58	-0.281
17	3	6	60	109	-0.281
17	3	7	67	122	-0.281
17	3	8	80	134	-0.281
18	3	1	53	155	0.317
18	3	2	47	187	0.317
18	3	3	35	143	0.317
18	3	4	28	114	0.317
18	3	5	37	131	0.317
18	3	6	15	59	0.317
18	3	7	26	89	0.317
18	3	8	33	110	0.317
19	3	1	33	80	0.11
19	3	2	74	175	0.11
19	3	3	36	73	0.11
19	3	4	83	171	0.11
19	3	5	58	132	0.11
19	3	6	69	149	0.11
19	3	7	38	76	0.11
19	3	8	56	145	0.11
19	3	9	50	97	0.11
20	3	1	113	159	-0.07
20	3	2	83	110	-0.07
20	3	3	141	195	-0.07
20	3	4	122	195	-0.07
20	3	5	101	159	-0.07
20	3	6	50	89	-0.07
20	3	7	60	83	-0.07
20	3	8	96	139	-0.07
20	3	9	69	90	-0.07
20	3	10	86	130	-0.07
21	3	1	105	168	0.227
21	3	2	46	75	0.227
21	3	3	67	111	0.227
21	3	4	77	121	0.227
21	3	5	93	180	0.227
21	3	6	97	189	0.227
21	3	7	111	182	0.227
21	3	8	87	151	0.227
21	3	9	99	193	0.227
21	3	10	70	127	0.227
22	3	1	61	136	0.223
22	3	2	40	100	0.223
22	3	3	44	102	0.223
22	3	4	22	53	0.223
22	3	5	55	125	0.223
22	3	6	89	181	0.223
22	3	7	22	51	0.223
22	3	8	29	61	0.223
22	3	9	37	75	0.223
23	3	1	83	166	0.209
23	3	2	70	160	0.209
23	3	3	88	196	0.209
23	3	4	46	120	0.209
23	3	5	33	61	0.209
