ID	Region	N_presas	N_aves	porc_urbano
1	Espinal	153	0	0.14
2	Espinal	214	1	0
3	Espinal	199	6	0
4	Espinal	134	5	0.12
5	Espinal	308	5	0.1
6	Espinal	167	1	0
7	Espinal	308	0	0
8	Espinal	586	10	0.37
9	Espinal	231	5	0.11
10	Espinal	308	5	0.15
11	Espinal	432	15	0
12	Espinal	321	6	0.08
13	Espinal	762	15	0
14	Espinal	325	10	0
15	Espinal	197	4	0
16	Espinal	102	4	0.1
17	Espinal	190	2	0.2
18	Espinal	418	22	0.1
19	Pampa	392	4	0.4
20	Pampa	304	9	0
21	Pampa	457	27	0.13
22	Pampa	288	22	0.25
23	Pampa	490	29	0.09
24	Pampa	259	10	0
25	Pampa	316	25	0.31
26	Pampa	398	5	0.14
27	Pampa	358	8	0
28	Delta	214	30	0.01
29	Pampa	446	3	0.02
30	Delta	174	22	0
31	Pampa	446	2	0.39
32	Delta	196	8	0
33	Delta	657	70	0
34	Delta	369	8	0
35	Delta	399	11	0
36	Delta	302	20	0
37	Delta	331	36	0
38	Delta	430	12	0
39	Delta	361	38	0.06
40	Delta	482	20	0
41	Delta	222	19	0
